combination,r2,q2,mae,rmsd,threshold,model,predictions
"('-2-3-', 'Dist_18-20')",0.19411273111277227,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.71416073 0.76865488 0.78258359 0.64922763 0.82135675 0.74073677
 0.87580834 1.00200507 0.73451889 0.7438343  0.73071482 0.62826059
 0.70854606 0.7547464  0.74868515]"
"('-2-3-', 'Dist_16-17')",0.5521270677581934,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.78016569 0.85177465 0.88397326 0.77743871 0.90659343 0.71687993
 0.99768752 0.9380688  0.67659723 0.51939281 0.88059412 0.57809189
 0.56298352 0.57548185 0.75811656]"
"('-2-3-', 'Dist_10-17')",0.35287409771556333,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.71216413 0.88089393 0.81960827 0.81336002 0.88852117 0.87298058
 0.77027083 0.73277401 0.77373069 0.63270943 0.88853369 0.48332078
 0.57179446 0.72607202 0.83710596]"
"('-2-3-', 'dip_x')",0.127681698504149,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.8271118  0.70344805 0.75217716 0.82129861 0.8454481  0.75540913
 0.79099212 0.7548803  0.73692653 0.74049369 0.85891798 0.62911164
 0.82566625 0.75121641 0.6107422 ]"
"('-2-3-', 'dip_y')",0.12938299523246344,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.83071243 0.81874043 0.83525732 0.80941572 0.79801987 0.65674922
 0.61680075 0.83399436 0.80656697 0.72156922 0.74385163 0.65648938
 0.69757818 0.77374057 0.80435393]"
"('-2-3-', 'dip_z')",0.03732467450216215,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.75970932 0.77321992 0.79737524 0.75858105 0.7657984  0.70380916
 0.7693975  0.78929246 0.79165298 0.77737583 0.77910348 0.64983995
 0.7851378  0.77866052 0.72488637]"
"('-2-3-', 'B1')",0.20837199091412895,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.80669316 0.8055328  0.82845863 0.80797342 0.77330646 0.71850521
 0.80397095 0.82863535 0.80944889 0.8128522  0.81025421 0.64699591
 0.8110381  0.51422823 0.62594646]"
"('-2-3-', 'B5')",0.057258993543403136,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.81055375 0.78689765 0.78492194 0.76114074 0.73533997 0.69306492
 0.75120699 0.81271288 0.74420688 0.74669197 0.81520961 0.63723495
 0.81325845 0.74990921 0.76149007]"
"('-2-3-', 'L')",0.1933430825165745,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.8461118  0.84516772 0.86580851 0.6423864  0.78074915 0.77436091
 0.76934587 0.86197622 0.86006896 0.77039457 0.79135626 0.62473064
 0.64786192 0.64678036 0.67674067]"
"('-2-9-', '-1-10-')",0.10679243229383018,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.78651039 0.791746   0.79115005 0.74137805 0.89834968 0.75019464
 0.71298124 0.79013824 0.76966782 0.61635159 0.65508864 0.78462622
 0.72235706 0.78364367 0.80965668]"
"('-2-9-', '-9-16-')",0.021913758979495657,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.76197168 0.76475133 0.76447483 0.70300089 0.82181644 0.81381879
 0.75970886 0.76407761 0.75314266 0.74283901 0.72855599 0.76092276
 0.76456518 0.72581306 0.7743809 ]"
