combination,r2,q2,mae,rmsd,threshold
"('PC1', 'PC3', 'PC4', 'PC18')",0.12518490908800972,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC4', 'PC19')",0.1166791253204209,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC4', 'PC20')",0.10550788292166968,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC5', 'PC6')",0.07872182853714871,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC5', 'PC7')",0.07538459079749105,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC5', 'PC8')",0.17562619425231096,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC5', 'PC9')",0.050978910613030726,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC5', 'PC10')",0.11678460921796963,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC5', 'PC11')",0.0493041888532153,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC5', 'PC12')",0.061917041383996674,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC5', 'PC13')",0.09711684535496024,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC5', 'PC14')",0.06710551386803532,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC5', 'PC15')",0.047981203587271315,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC5', 'PC16')",0.04798753022708646,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC5', 'PC17')",0.1333104677527066,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC5', 'PC18')",0.07139592489157964,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC5', 'PC19')",0.06289014112263835,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC5', 'PC20')",0.051718898724603,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC6', 'PC7')",0.09300072733708731,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC6', 'PC8')",0.1932423307914306,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC6', 'PC9')",0.06859504715143849,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC6', 'PC10')",0.13440074576018823,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC6', 'PC11')",0.0669203253918984,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC6', 'PC12')",0.0795331779227757,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC6', 'PC13')",0.11473298189248382,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC6', 'PC14')",0.0847216504060001,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC6', 'PC15')",0.06559734012590979,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC6', 'PC16')",0.06560366676572638,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC6', 'PC17')",0.1509266042948646,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC6', 'PC18')",0.08901206143095453,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC6', 'PC19')",0.08050627765537277,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC6', 'PC20')",0.06933503526285822,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC7', 'PC8')",0.18990509305674408,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC7', 'PC9')",0.06525780941210757,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC7', 'PC10')",0.13106350802472333,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC7', 'PC11')",0.0635830876529675,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC7', 'PC12')",0.07619594017850284,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC7', 'PC13')",0.11139574415394615,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC7', 'PC14')",0.08138441266559437,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC7', 'PC15')",0.06226010238670365,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC7', 'PC16')",0.06226642902651247,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC7', 'PC17')",0.14758936655318255,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC7', 'PC18')",0.08567482369160606,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC7', 'PC19')",0.07716903992272639,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC7', 'PC20')",0.06599779752200807,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC8', 'PC9')",0.1654994128677455,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC8', 'PC10')",0.2313051114696355,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC8', 'PC11')",0.16382469110851894,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC8', 'PC12')",0.17643754362377406,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC8', 'PC13')",0.2116373476132427,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC8', 'PC14')",0.18162601610845053,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC8', 'PC15')",0.1625017058417122,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC8', 'PC16')",0.16250803248149048,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC8', 'PC17')",0.24783096999595144,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC8', 'PC18')",0.18591642714109646,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC8', 'PC19')",0.1774106433752386,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC8', 'PC20')",0.166239400979449,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC9', 'PC10')",0.10665782783270128,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC9', 'PC11')",0.03917740746738385,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC9', 'PC12')",0.05179025999817244,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC9', 'PC13')",0.08699006396857778,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC9', 'PC14')",0.05697873248249252,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC9', 'PC15')",0.03785442220161661,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC9', 'PC16')",0.03786074884143342,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC9', 'PC17')",0.1231836863661313,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC9', 'PC18')",0.06126914350656587,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC9', 'PC19')",0.05276335973687318,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC9', 'PC20')",0.04159211733869228,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC10', 'PC11')",0.10498310607278716,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC10', 'PC12')",0.11759595860056382,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC10', 'PC13')",0.15279576257532357,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC10', 'PC14')",0.12278443109591264,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC10', 'PC15')",0.10366012080736764,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC10', 'PC16')",0.10366644744719633,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC10', 'PC17')",0.18898938497258222,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC10', 'PC18')",0.12707484211097386,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC10', 'PC19')",0.11856905834514542,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC10', 'PC20')",0.10739781594362019,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC11', 'PC12')",0.05011553823814818,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC11', 'PC13')",0.08531534220937098,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC11', 'PC14')",0.05530401072257196,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC11', 'PC15')",0.03617970044197727,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC11', 'PC16')",0.03618602708179264,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC11', 'PC17')",0.12150896460594174,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC11', 'PC18')",0.0595944217474792,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC11', 'PC19')",0.051088637977137474,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC11', 'PC20')",0.03991739557890772,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC12', 'PC13')",0.09792819473626646,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC12', 'PC14')",0.0679168632505267,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC12', 'PC15')",0.04879255297283136,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC12', 'PC16')",0.04879887961261542,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC12', 'PC17')",0.13412181713533766,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC12', 'PC18')",0.07220727427702767,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC12', 'PC19')",0.06370149050980078,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC12', 'PC20')",0.052530248108619504,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC13', 'PC14')",0.1031166672224002,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC13', 'PC15')",0.08399235694295137,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC13', 'PC16')",0.08399868358276863,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC13', 'PC17')",0.1693216211091152,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC13', 'PC18')",0.10740707824484652,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC13', 'PC19')",0.09890129447845586,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC13', 'PC20')",0.08773005208033013,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC14', 'PC15')",0.05398102545683181,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC14', 'PC16')",0.05398735209666283,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC14', 'PC17')",0.13931028962013736,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC14', 'PC18')",0.07739574676250893,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC14', 'PC19')",0.06888996299351902,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC14', 'PC20')",0.05771872059385541,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC15', 'PC16')",0.034863041815936135,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC15', 'PC17')",0.12018597934065178,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC15', 'PC18')",0.05827143648096178,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC15', 'PC19')",0.04976565271145983,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC15', 'PC20')",0.038594410313156136,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC16', 'PC17')",0.12019230598051456,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC16', 'PC18')",0.058277763120772264,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC16', 'PC19')",0.04977197935128319,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC16', 'PC20')",0.03860073695297428,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC17', 'PC18')",0.14360070064804153,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC17', 'PC19')",0.13509491687678465,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC17', 'PC20')",0.12392367447724761,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC18', 'PC19')",0.0731803740156588,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC18', 'PC20')",0.06200913161853894,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC19', 'PC20')",0.05350334784856925,-inf,inf,inf,0.85
