Models list | formula                          |       R.sq |           Q.sq |         MAE |   Model_id |
| ('PC1', 'PC2', 'PC4', 'PC6')     | 0.29262    |    0.00713537  |    1.1195   |        243 |
| ('PC1', 'PC2', 'PC4', 'PC13')    | 0.311015   |    0.00691452  |    1.04513  |        244 |
| ('PC1', 'PC2', 'PC4', 'PC10')    | 0.330683   |    0.00494518  |    1.05492  |        245 |
| ('PC1', 'PC2', 'PC4', 'PC17')    | 0.347209   |    0.00346427  |    1.02666  |        246 |
| ('PC5', 'PC8', 'PC10', 'PC17')   | 0.29491    |    0.00065362  |    0.754374 |        247 |
| ('PC1', 'PC2', 'PC4', 'PC8')     | 0.389524   |    0.000317943 |    0.925504 |        248 |
| ('PC4', 'PC5', 'PC8', 'PC17')    | 0.29302    |    3.86481e-05 |    0.771304 |        249 |
| ('PC2', 'PC3', 'PC5', 'PC8')     | 0.301325   |    4.33785e-06 |    0.870388 |        250 |
| ('PC5', 'PC9', 'PC15', 'PC18')   | 0.0395448  | -inf           | -inf        |       3310 |
| ('PC5', 'PC9', 'PC16', 'PC19')   | 0.0310453  | -inf           | -inf        |       3315 |
| ('PC5', 'PC9', 'PC16', 'PC18')   | 0.0395511  | -inf           | -inf        |       3314 |
| ('PC5', 'PC9', 'PC16', 'PC17')   | 0.101466   | -inf           | -inf        |       3313 |
| ('PC5', 'PC9', 'PC15', 'PC20')   | 0.0198677  | -inf           | -inf        |       3312 |
| ('PC5', 'PC9', 'PC15', 'PC19')   | 0.031039   | -inf           | -inf        |       3311 |
| ('PC5', 'PC9', 'PC13', 'PC20')   | 0.0690034  | -inf           | -inf        |       3301 |
| ('PC5', 'PC9', 'PC14', 'PC19')   | 0.0501633  | -inf           | -inf        |       3306 |
