combination,r2,q2,mae,rmsd,threshold,model
"('cross', 'para', '-2-9-', 'Dist(2, 9)')",0.7084628041805398,-0.1416381062338099,0.15436257836341785,0.18631674912738183,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'Dist(1, 10)')",0.6226037330513865,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'Dist(9, 16)')",0.7327182605962963,0.19619625732334134,0.1293951491432278,0.15633732681479082,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'Dist(17, 18)')",0.6269129363538243,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'Dist(18, 19)')",0.6247030835840702,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'Dist(18, 20)')",0.640354453469891,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'Dist(16, 17)')",0.766820575830628,0.23374119347719136,0.13140063153897422,0.15264247849574028,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'Dist(10, 17)')",0.6761041351848207,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'dip_x')",0.7086054221060778,-0.4429650782720804,0.17689783539954396,0.20946698424544868,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'dip_y')",0.6305112464592001,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'dip_z')",0.6431686010604056,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'Total')",0.7536956359035577,0.27033951800844047,0.13108176615182743,0.14895259804267327,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'NBO O 1')",0.6428472572537852,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'NBO B 2')",0.6373162862329187,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'NBO C 3')",0.6309399273962528,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'NBO O 9')",0.639650542972295,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'NBO H 10')",0.6230817581034483,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'NBO H 16')",0.7082395135893578,0.06308783285741515,0.13872134251732557,0.1687862674237546,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'NBO O 17')",0.624244262124486,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'NBO C 18')",0.6789698255637028,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'NBO H 19')",0.6267366415436577,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'NBO C 20')",0.6343295786205045,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'diff O1 B2')",0.7251690325953902,0.11189102198048984,0.12616723346596923,0.16433149262082838,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'diff B2 C3')",0.6332807462708114,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'diff B2 O9')",0.6787666383444395,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'diff O1 H10')",0.6249022350368978,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'diff O9 H16')",0.6255742864786279,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'diff H10 O17')",0.6235750247412988,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'diff H16 O17')",0.6666579289860313,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'diff O17 C18')",0.6223035281071709,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'diff C18 H19')",0.6320860170941207,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'diff C18 C20')",0.6302815017624579,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'B1')",0.7284422697955565,-3.735579076059376,0.23578799298645609,0.37946717683405057,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'B5')",0.7937772706811782,0.22127471968615153,0.1257227222862295,0.15387915989753792,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'L')",0.6475611734430937,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-10-', '-9-16-')",0.6964550192620393,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-10-', '-17-18-')",0.6207068283150365,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-10-', '-18-19-')",0.6216910070376889,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-10-', '-18-20-')",0.6661683751525358,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-10-', 'Dist(1, 2)')",0.6731240652841463,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-10-', 'Dist(2, 3)')",0.6210325435428623,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-10-', 'Dist(2, 9)')",0.7226781208567534,0.12252460131868326,0.13878172520374274,0.1633447363881604,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-10-', 'Dist(1, 10)')",0.6219015702627335,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-10-', 'Dist(9, 16)')",0.7502564227650852,0.24983750362565216,0.11734869311596734,0.15103073776253842,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-10-', 'Dist(17, 18)')",0.6246507839845787,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-10-', 'Dist(18, 19)')",0.6262675684972667,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-10-', 'Dist(18, 20)')",0.6209558052831274,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-10-', 'Dist(16, 17)')",0.7556937715516785,0.2354690388208771,0.1386718655935869,0.15247028377487643,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-10-', 'Dist(10, 17)')",0.6757676858527808,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-10-', 'dip_x')",0.7305927300155958,-0.46661165578704566,0.16904951019231368,0.21117632891532367,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-10-', 'dip_y')",0.628081594384706,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-10-', 'dip_z')",0.6257264824836117,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-10-', 'Total')",0.7726902391811373,0.3090491671287531,0.12402168662680953,0.14494767117224594,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-10-', 'NBO O 1')",0.6523103133885255,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-10-', 'NBO B 2')",0.6407124393471006,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-10-', 'NBO C 3')",0.632769410429729,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-10-', 'NBO O 9')",0.6478772818891652,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-10-', 'NBO H 10')",0.6280790235577368,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-10-', 'NBO H 16')",0.7329604967679257,0.2661787976710843,0.12239252325412432,0.14937667823738404,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-10-', 'NBO O 17')",0.6204598513763123,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-1-10-', 'NBO C 18')",0.679671464494072,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
