combination,r2,q2,mae,rmsd,threshold
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'dipole_z_10-11-12')",0.3180492834979438,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'total_dipole_10-11-12')",0.26859086893121975,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'dipole_x_11-12-5')",0.30642211991554824,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'dipole_y_11-12-5')",0.27123527341989206,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'dipole_z_11-12-5')",0.3175402733641538,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'total_dipole_11-12-5')",0.26859086893121975,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'dipole_x_4-5-1')",0.31240678534007826,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'dipole_y_4-5-1')",0.26830598103333425,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'dipole_z_4-5-1')",0.2833892772744565,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'total_dipole_4-5-1')",0.26859086893121975,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'dipole_x_4-3-2')",0.27596090836255405,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'dipole_y_4-3-2')",0.297673054492689,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'dipole_z_4-3-2')",0.3444504862961896,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'total_dipole_4-3-2')",0.26859086893121975,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'dipole_x_1-2-3')",0.2942095123288334,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'dipole_y_1-2-3')",0.2713736753772049,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'dipole_z_1-2-3')",0.3504021033680268,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'total_dipole_1-2-3')",0.26859086893121975,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'nbo_atom_3')",0.40418671778395254,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'nbo_atom_5')",0.31773887906427223,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'nbo_atom_11')",0.3261940121025795,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'nbo_atom_12')",0.2691913118771052,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'nbo_atom_4')",0.4345505096844494,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'nbo_atom_6')",0.29639845982408564,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'nbo_atom_20')",0.285397247637021,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'nbo_atom_21')",0.27122487879276824,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'nbo_atom_22')",0.40262945814759854,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'nbo_atom_7')",0.2737156174333448,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'hirshfeld_atom_3')",0.4725437636267722,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'hirshfeld_atom_5')",0.30543192234553307,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'hirshfeld_atom_11')",0.3682790444395724,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'hirshfeld_atom_12')",0.2726032663647212,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'hirshfeld_atom_4')",0.45315517059815524,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'hirshfeld_atom_6')",0.2844771734429862,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'hirshfeld_atom_20')",0.37575801929551333,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'hirshfeld_atom_21')",0.27860238255462655,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'hirshfeld_atom_22')",0.44938097124473053,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'hirshfeld_atom_7')",0.30062880514080126,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'nbo_diff_3-5')",0.40535933499646615,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'nbo_diff_5-12')",0.36415623750958004,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'nbo_diff_3-11')",0.44313729957603787,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'hirshfeld_diff_3-5')",0.4544664198070114,-inf,inf,inf,0.7
